Date,Time,Ping (ms),Jitter (ms),Download (Mbps),Upload (Mbps)
10/21/21,16:43,13.02,8.75,55.48,30.92
10/21/21,16:49,12.66,7.99,54.72,30.70
10/21/21,18:30,13.53,2.00,43.26,30.50
10/21/21,18:52,12.34,10.50,40.44,24.54
10/21/21,19:00,12.99,8.45,44.66,30.49
10/21/21,19:15,12.49,2.14,50.08,30.76
10/21/21,19:17,15.97,4.53,38.58,30.67
10/21/21,19:30,12.30,3.94,57.22,30.64
10/21/21,20:00,13.38,3.62,49.19,29.58
10/21/21,20:13,11.76,4.79,46.89,29.82
10/21/21,20:15,11.21,9.23,55.90,30.43
10/21/21,20:17,19.61,1.81,47.68,30.39
10/21/21,20:20,12.90,4.91,45.36,30.69
10/21/21,20:30,12.53,2.40,50.14,30.65
10/21/21,21:00,11.95,5.95,51.38,30.69
10/21/21,21:28,14.12,10.46,43.81,26.75
10/21/21,21:30,14.18,11.45,42.88,30.00
10/21/21,22:00,40.28,18.23,38.30,30.53
10/21/21,22:30,13.13,7.93,47.04,30.70
10/21/21,23:00,16.38,6.67,46.32,30.45
10/21/21,23:05,13.25,3.77,45.46,30.63
10/21/21,23:07,17.70,4.46,68.28,30.70
10/21/21,23:08,12.98,6.07,75.11,30.77
10/21/21,23:30,17.42,5.30,66.23,30.73
10/22/21,00:00,12.73,2.63,73.78,30.85
10/22/21,00:30,12.42,1.46,82.02,30.73
10/22/21,01:00,35.48,131.56,67.57,26.12
10/22/21,01:30,12.05,1.34,86.21,30.74
10/22/21,02:00,12.20,4.81,85.38,30.74
10/22/21,02:30,12.11,2.70,79.53,30.75
10/22/21,03:00,18.56,1.65,53.77,30.74
10/22/21,03:30,12.65,4.84,66.66,30.50
10/22/21,04:00,11.88,3.70,80.43,30.74
10/22/21,04:30,16.08,2.46,70.40,30.73
10/22/21,05:00,13.16,6.03,74.08,10.25
10/22/21,05:30,12.13,2.83,74.99,30.65
10/22/21,06:00,16.06,1.94,80.93,30.71
10/22/21,06:30,11.65,2.95,80.44,30.63
10/22/21,07:30,16.29,2.41,81.35,30.73
10/22/21,08:00,12.20,2.42,80.89,30.62
10/22/21,08:30,12.47,1.45,80.66,30.78
10/22/21,09:00,11.63,6.90,70.59,30.60
